url;price;
https://solanart.io/collections/degenape;MuiChip-label-329;
https://solanart.io/collections/solpunks;MuiChip-label-329;
https://solanart.io/collections/aurory;MuiChip-label-329;
https://solanart.io/collections/sollamas-gen2;MuiChip-label-329;
https://solanart.io/collections/kaijucards;MuiChip-label-329;
https://solanart.io/collections/sollamasgraves;MuiChip-label-329;
https://solanart.io/collections/apeshit;MuiChip-label-329;
https://solanart.io/collections/solanimals;MuiChip-label-329;
https://solanart.io/collections/frakt;MuiChip-label-329;
https://solanart.io/collections/ssbxsolpunks;MuiChip-label-329;